date,time,lon,lat
01/01/2013,13:00,-122.40901700761299,37.7994880717633
01/01/2013,17:00,-122.45084560938,37.780621598364895
01/01/2013,17:00,-122.396406518193,37.761300875136705
01/01/2013,23:30,-122.451870110448,37.780492016828205
01/01/2014,21:00,-122.39079330313999,37.710756973009204
01/01/2014,16:00,-122.393173541117,37.758918365891
01/01/2014,17:00,-122.39653380353901,37.7619236146285
01/01/2014,01:45,-122.46699111214399,37.7397231592142
01/01/2014,12:00,-122.412662251525,37.8009645215934
01/01/2014,21:00,-122.407532192495,37.7781942181426
01/01/2015,19:30,-122.42236668669099,37.741761696288705
01/01/2015,19:00,-122.41459317110399,37.7491990535295
01/01/2015,19:30,-122.40081543661199,37.755890453994205
01/01/2015,22:30,-122.412056242405,37.760989908914205
